#mip results PROTO15-TB2022-03
#layer chip channel mpv empv widthmpv chi2ndf nentries
0 5 30 96.5057 0.301842 5.58782 0.722129 2919
0 5 31 87.6995 0.274209 5.44721 1.17529 3086
0 5 32 87.916 0.236527 5.82512 0.945598 4277
0 5 33 97.5009 0.294973 6.4303 1.15232 4567
0 5 34 115.006 0.329723 7.91278 0.996955 5330
0 5 35 86.97 0.313181 6.5571 0.860812 2766
0 5 36 94.4276 0.274879 6.64342 0.876153 3682
0 5 37 0 -10 0 0 0
0 5 38 72.0933 0.267184 4.60656 0.83773 2172
0 5 39 86.926 0.361452 6.50862 0.915532 1732
0 5 40 89.613 0.311011 6.28055 0.836893 2423
0 5 41 79.5869 0.224035 5.04814 1.17268 3988
0 5 42 95.6019 0.336294 5.81818 1.04171 2042
0 5 43 108.522 0.30485 6.69195 0.943022 4770
0 5 44 93.5163 0.301471 5.24036 1.59225 2775
0 5 45 100.339 0.244866 5.32151 0.937357 4554
0 5 46 108.489 0.253252 6.94893 0.905755 6935
0 5 47 75.3638 0.318885 5.78551 0.885189 1780
0 5 48 98.8656 0.356071 7.04457 1.34259 3227
0 5 49 99.5576 0.360195 6.37131 0.83667 2131
0 5 50 97.9671 0.281316 6.59001 0.814033 3311
0 5 51 99.6553 0.400053 5.95871 0.734938 1815
0 5 52 105.655 0.300927 6.90509 0.850357 4027
0 5 53 79.3313 0.305262 5.12523 1.12757 2182
0 5 54 94.4339 0.346991 5.95328 1.17394 2325
0 5 55 101.788 0.328775 6.39306 1.38827 2802
0 5 56 95.7067 0.509086 5.61341 1.00131 1232
0 5 57 100.267 0.535867 5.16586 0.990937 1085
0 5 58 96.012 0.41698 5.60595 0.726756 1402
0 5 59 104.761 0.233923 6.69102 1.07649 6112
0 5 60 88.0845 0.294169 5.95024 0.907977 2423
0 5 61 95.8892 0.332361 5.6691 1.34889 2470
0 5 62 102.378 0.250731 6.2067 1.20811 4245
0 5 63 107.962 0.469271 6.60083 0.947396 1511
0 6 0 0 -10 0 0 0
0 6 1 0 -10 0 0 0
0 6 2 0 -10 0 0 0
0 6 3 0 -10 0 0 0
0 6 4 0 -10 0 0 0
0 6 5 0 -10 0 0 0
0 6 6 0 -10 0 0 0
0 6 7 0 -10 0 0 0
0 6 8 0 -10 0 0 0
0 6 9 0 -10 0 0 0
0 6 10 0 -10 0 0 0
0 6 11 0 -10 0 0 0
0 6 12 0 -10 0 0 0
0 6 13 0 -10 0 0 0
0 6 14 0 -10 0 0 0
0 6 15 0 -10 0 0 0
0 6 16 0 -10 0 0 0
0 6 17 0 -10 0 0 0
0 6 18 0 -10 0 0 0
0 6 19 0 -10 0 0 0
0 6 20 0 -10 0 0 0
0 6 21 0 -10 0 0 0
0 6 22 0 -10 0 0 0
0 6 23 0 -10 0 0 0
0 6 24 0 -10 0 0 0
0 6 25 0 -10 0 0 0
0 6 26 0 -10 0 0 0
0 6 27 0 -10 0 0 0
0 6 28 0 -10 0 0 0
0 6 29 0 -10 0 0 0
0 6 30 0 -10 0 0 0
0 6 31 0 -10 0 0 0
0 6 32 0 -10 0 0 0
0 6 33 0 -10 0 0 0
0 6 34 0 -10 0 0 0
0 6 35 0 -10 0 0 0
0 6 36 0 -10 0 0 0
0 6 37 0 -10 0 0 0
0 6 38 0 -10 0 0 0
0 6 39 0 -10 0 0 0
0 6 40 0 -10 0 0 0
0 6 41 0 -10 0 0 0
0 6 42 0 -10 0 0 0
0 6 43 0 -10 0 0 0
0 6 44 0 -10 0 0 0
0 6 45 0 -10 0 0 0
0 6 46 0 -10 0 0 0
0 6 47 0 -10 0 0 0
0 6 48 0 -10 0 0 0
0 6 49 0 -10 0 0 0
0 6 50 0 -10 0 0 0
0 6 51 0 -10 0 0 0
0 6 52 0 -10 0 0 0
0 6 53 0 -10 0 0 0
0 6 54 0 -10 0 0 0
0 6 55 0 -10 0 0 0
0 6 56 0 -10 0 0 0
0 6 57 0 -10 0 0 0
0 6 58 0 -10 0 0 0
0 6 59 0 -10 0 0 0
0 6 60 0 -10 0 0 0
0 6 61 0 -10 0 0 0
0 6 62 0 -10 0 0 0
0 6 63 0 -10 0 0 0
0 7 0 0 -10 0 0 0
0 7 1 0 -10 0 0 0
0 7 2 0 -10 0 0 0
0 7 3 0 -10 0 0 0
0 7 4 0 -10 0 0 0
0 7 5 0 -10 0 0 0
0 7 6 0 -10 0 0 0
0 7 7 0 -10 0 0 0
0 7 8 0 -10 0 0 0
0 7 9 0 -10 0 0 0
0 7 10 0 -10 0 0 0
0 7 11 0 -10 0 0 0
0 7 12 0 -10 0 0 0
0 7 13 0 -10 0 0 0
0 7 14 0 -10 0 0 0
0 7 15 0 -10 0 0 0
0 7 16 0 -10 0 0 0
0 7 17 0 -10 0 0 0
0 7 18 0 -10 0 0 0
0 7 19 0 -10 0 0 0
0 7 20 0 -10 0 0 0
0 7 21 0 -10 0 0 0
0 7 22 0 -10 0 0 0
0 7 23 0 -10 0 0 0
0 7 24 0 -10 0 0 0
0 7 25 0 -10 0 0 0
0 7 26 0 -10 0 0 0
0 7 27 0 -10 0 0 0
0 7 28 0 -10 0 0 0
0 7 29 0 -10 0 0 0
0 7 30 0 -10 0 0 0
0 7 31 0 -10 0 0 0
0 7 32 0 -10 0 0 0
0 7 33 0 -10 0 0 0
0 7 34 0 -10 0 0 0
0 7 35 0 -10 0 0 0
0 7 36 0 -10 0 0 0
0 7 37 0 -10 0 0 0
0 7 38 0 -10 0 0 0
0 7 39 0 -10 0 0 0
0 7 40 0 -10 0 0 0
0 7 41 0 -10 0 0 0
0 7 42 0 -10 0 0 0
0 7 43 0 -10 0 0 0
0 7 44 0 -10 0 0 0
0 7 45 0 -10 0 0 0
0 7 46 0 -10 0 0 0
0 7 47 0 -10 0 0 0
0 7 48 0 -10 0 0 0
0 7 49 0 -10 0 0 0
0 7 50 0 -10 0 0 0
0 7 51 0 -10 0 0 0
0 7 52 0 -10 0 0 0
0 7 53 0 -10 0 0 0
0 7 54 0 -10 0 0 0
0 7 55 0 -10 0 0 0
0 7 56 0 -10 0 0 0
0 7 57 0 -10 0 0 0
0 7 58 0 -10 0 0 0
0 7 59 0 -10 0 0 0
0 7 60 0 -10 0 0 0
0 7 61 0 -10 0 0 0
0 7 62 0 -10 0 0 0
0 7 63 0 -10 0 0 0
0 8 0 42.2406 -1 5.02043 0.848083 443
0 8 1 38.3436 -1 4.13936 0.967942 480
0 8 2 33.5245 -1 3.84346 1.14568 647
0 8 3 36.3513 -1 2.6301 1.00711 2744
0 8 4 35.0487 -1 3.08434 0.837603 2040
0 8 5 0 -10 0 0 0
0 8 6 34.4327 -1 5.01644 0.637852 837
0 8 7 40.3168 -1 2.91569 1.3578 1890
0 8 8 34.3918 -1 4.34441 2.14298 483
0 8 9 37.1919 -1 2.23252 1.8136 2916
0 8 10 36.1699 -1 3.97694 0.970059 1835
0 8 11 35.0457 -1 3.50117 1.34204 712
0 8 12 34.3888 -1 2.60315 0.693519 2725
0 8 13 37.667 -1 3.38909 1.17642 3333
0 8 14 34.2487 -1 4.88814 1.17139 1126
0 8 15 34.6035 -1 2.8146 0.815694 4037
0 8 16 36.9439 -1 2.93675 1.33568 1562
0 8 17 34.7704 -1 3.3854 1.35241 1410
0 8 18 35.8082 -1 2.91747 0.793911 3276
0 8 19 41.0459 -1 2.45531 1.26548 2197
0 8 20 35.8723 -1 3.06612 0.802314 2477
0 8 21 37.386 -1 3.72478 1.13843 1242
0 8 22 37.9769 -1 2.49898 0.933107 2474
0 8 23 34.7913 -1 2.83151 1.02819 1594
0 8 24 37.3002 -1 5.02313 0.989757 543
0 8 25 41.9402 -1 3.76812 1.43494 2493
0 8 26 35.4377 -1 4.6949 1.23016 1435
0 8 27 38.5995 -1 2.81652 1.01436 4703
0 8 28 38.7189 -1 2.83686 0.797651 3618
0 8 29 35.0959 -1 2.71208 1.26036 2143
0 8 30 36.6016 -1 2.47737 0.954787 3929
0 8 31 45.5279 0.186634 3.26356 0.689171 2320
0 8 32 41.3268 -1 2.69566 0.683397 3071
0 8 33 41.7148 -1 3.00551 0.589483 3850
0 8 34 36.549 -1 3.77826 1.29993 1974
0 8 35 53.4326 0.226504 3.34049 0.963068 1600
0 8 36 40.4432 -1 2.9125 0.825931 3370
0 8 37 0 -10 0 0 0
0 8 38 63.9923 0.317514 4.09324 1.08733 1443
0 8 39 110.617 0.382635 6.72043 0.983265 3308
0 8 40 41.274 -1 2.76821 0.722725 2336
0 8 41 48.3168 0.227196 4.2109 0.992217 2296
0 8 42 83.0704 0.342717 5.88132 0.77652 1674
0 8 43 0 -10 0 0 0
0 8 44 56.5963 0.234839 3.6278 0.76724 2052
0 8 45 46.5086 0.205432 3.57396 1.03668 2683
0 8 46 35.2162 -1 3.37841 0.699127 2628
0 8 47 81.3678 0.348649 5.40634 0.949915 1800
0 8 48 53.1834 0.207588 3.64078 1.16219 2441
0 8 49 72.4509 0.373199 5.12245 1.02787 1506
0 8 50 91.4423 0.283083 6.07916 1.22208 2868
0 8 51 110.113 0.367498 7.30883 1.01341 2356
0 8 52 76.2427 0.3126 5.21331 1.22218 1821
0 8 53 68.4512 0.244952 3.95156 1.32119 3061
0 8 54 106.585 0.42417 7.00558 1.14977 2261
0 8 55 97.964 0.373276 5.53787 0.868693 1722
0 8 56 107.44 0.483339 6.71621 1.08603 2016
0 8 57 0 -10 0 0 0
0 8 58 106.811 0.480377 7.06504 1.1832 1557
0 8 59 37.1826 -1 2.71176 0.609929 2338
0 8 60 117.895 0.407574 8.01732 0.83421 3724
0 8 61 105.993 0.317028 7.2522 1.02215 3996
0 8 62 78.3514 0.24686 4.77369 1.38024 2693
0 8 63 119.008 0.552509 6.50352 0.693832 1277
0 9 0 89.7109 0.243752 5.19829 0.954811 3742
0 9 1 66.4468 0.214443 4.68173 1.08966 2840
0 9 2 46.9705 0.267372 2.85264 1.30758 1658
0 9 3 37.1234 -1 2.60654 0.905787 2593
0 9 4 34.0129 -1 2.94775 0.540353 1343
0 9 5 35.9376 -1 2.76807 1.04902 1349
0 9 6 41.2827 -1 2.94431 1.39731 1727
0 9 7 34.889 -1 2.30654 1.0907 1099
0 9 8 38.1693 -1 2.25929 0.830926 1332
0 9 9 37.9067 -1 2.64972 1.11541 3486
0 9 10 38.0887 -1 2.68973 1.44811 2640
0 9 11 32.7252 -1 2.73607 1.41879 1225
0 9 12 36.4076 -1 2.24883 0.970099 1927
0 9 13 33.603 -1 2.67327 1.06697 1465
0 9 14 47.4492 0.153137 3.12028 0.816554 3135
0 9 15 33.4214 -1 2.71513 1.15886 2107
0 9 16 0 -10 0 0 0
0 9 17 35.0726 -1 2.85508 0.754181 1636
0 9 18 33.9677 -1 2.66899 1.25107 1750
0 9 19 34.2996 -1 2.59012 1.45512 1150
0 9 20 32.9655 -1 2.8312 1.02024 1393
0 9 21 39.6548 -1 2.77347 0.876247 2759
0 9 22 100.721 0.359982 6.22003 0.948152 2152
0 9 23 33.1047 -1 2.93684 0.950302 1090
0 9 24 38.3729 -1 2.65691 0.647104 1895
0 9 25 35.9964 -1 3.45707 1.32714 1097
0 9 26 36.9649 -1 2.50084 1.39335 2050
0 9 27 33.6933 -1 3.2498 1.58276 2294
0 9 28 34.1938 -1 3.06044 0.876892 1925
0 9 29 33.5384 -1 3.03802 1.05246 1437
0 9 30 34.278 -1 2.94576 0.691556 1829
0 9 31 37.4848 -1 2.93932 0.727545 1626
0 9 32 34.1871 -1 2.78359 0.845893 3193
0 9 33 36.856 -1 4.61959 1.24258 2009
0 9 34 35.1158 -1 2.86246 1.04312 2508
0 9 35 46.2228 0.21606 2.93601 0.998209 2552
0 9 36 90.2125 0.269833 6.0554 1.47383 4115
0 9 37 0 -10 0 0 0
0 9 38 0 -10 0 0 0
0 9 39 37.8568 -1 3.91881 2.15286 792
0 9 40 32.2966 -1 4.22639 0.932977 1100
0 9 41 34.1218 -1 2.7537 1.02023 3027
0 9 42 0 -10 0 0 0
0 9 43 35.0914 -1 4.38359 0.572078 1117
0 9 44 0 -10 0 0 0
0 9 45 33.5114 -1 3.11339 0.998473 2951
0 9 46 33.5859 -1 3.23191 1.18294 2388
0 9 47 118.634 0.496279 6.42875 0.736652 1833
0 9 48 0 -10 0 0 0
0 9 49 0 -10 0 0 0
0 9 50 33.3397 -1 2.44064 1.13195 3283
0 9 51 38.1641 -1 5.34936 1.23336 455
0 9 52 34.8834 -1 5.12786 2.0128 799
0 9 53 46.0678 0.172047 2.79721 1.33877 2700
0 9 54 35.5596 -1 3.70925 1.04528 1229
0 9 55 0 -10 0 0 0
0 9 56 34.4367 -1 4.43403 1.01652 463
